time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type
4	4	19	5.136764102	214.272438747992	CO	warmed
8	4	19	2.052232693	85.6058201769979	CO	warmed
24	4	19	NA	NA	CO	warmed
48	4	19	NA	NA	CO	warmed
72	4	19	NA	NA	CO	warmed
120	4	19	NA	NA	CO	warmed
240	4	19	-0.1109559	NA	CO	warmed
360	4	19	NA	NA	CO	warmed
480	4	19	-0.0958794	NA	CO	warmed
600	4	19	NA	NA	CO	warmed
720	4	19	NA	NA	CO	warmed
840	4	19	NA	NA	CO	warmed
0	5	19	10.99183218	458.50785450713	CO	warmed
1	5	19	8.264475523	344.740246996513	CO	warmed
2	5	19	6.281380982	262.018421518396	CO	warmed
4	5	19	3.706129633	154.595659642988	CO	warmed
8	5	19	0.817951949	34.119643302807	CO	warmed
24	5	19	NA	NA	CO	warmed
48	5	19	NA	NA	CO	warmed
72	5	19	NA	NA	CO	warmed
120	5	19	NA	NA	CO	warmed
240	5	19	NA	NA	CO	warmed
360	5	19	NA	NA	CO	warmed
480	5	19	NA	NA	CO	warmed
600	5	19	NA	NA	CO	warmed
720	5	19	NA	NA	CO	warmed
840	5	19	NA	NA	CO	warmed
0	1	19	10.84368408	452.328077890461	CO	unwarmed
1	1	19	10.07296113	420.178521707562	CO	unwarmed
2	1	19	9.53836671	397.878714311332	CO	unwarmed
4	1	19	8.625263677	359.789985721884	CO	unwarmed
8	1	19	6.973535052	290.890594276048	CO	unwarmed
24	1	19	2.233972918	93.1868420919807	CO	unwarmed
48	1	19	0.125129316	NA	CO	unwarmed
72	1	19	-0.018671708	NA	CO	unwarmed
120	1	19	-0.0616066	NA	CO	unwarmed
240	1	19	-0.0784541	NA	CO	unwarmed
360	1	19	NA	NA	CO	unwarmed
480	1	19	NA	NA	CO	unwarmed
600	1	19	NA	NA	CO	unwarmed
720	1	19	NA	NA	CO	unwarmed
840	1	19	NA	NA	CO	unwarmed
0	2	19	10.78664767	449.948889275712	CO	unwarmed
1	2	19	9.855885818	411.12354943891	CO	unwarmed
2	2	19	9.191771909	383.421030097504	CO	unwarmed
4	2	19	8.025955401	334.790736523273	CO	unwarmed
8	2	19	6.032567186	251.639525815884	CO	unwarmed
24	2	19	1.289098172	53.7728039705918	CO	unwarmed
48	2	19	-0.024878808	NA	CO	unwarmed
72	2	19	NA	NA	CO	unwarmed
120	2	19	-0.089107307	NA	CO	unwarmed
240	2	19	NA	NA	CO	unwarmed
360	2	19	NA	NA	CO	unwarmed
480	2	19	NA	NA	CO	unwarmed
600	2	19	NA	NA	CO	unwarmed
720	2	19	NA	NA	CO	unwarmed
840	2	19	NA	NA	CO	unwarmed
0	4	19	11.14748651	465.000742291834	CO	unwarmed
1	4	19	10.68300551	445.625611441781	CO	unwarmed
2	4	19	10.3503397	431.748954273697	CO	unwarmed
4	4	19	9.790865134	408.411308764996	CO	unwarmed
8	4	19	8.800320522	367.092220427012	CO	unwarmed
24	4	19	5.24038998	218.595037402623	CO	unwarmed
48	4	19	1.811547732	75.5660066797505	CO	unwarmed
72	4	19	0.417386741	NA	CO	unwarmed
120	4	19	-0.0898923	NA	CO	unwarmed
240	4	19	NA	NA	CO	unwarmed
360	4	19	NA	NA	CO	unwarmed
480	4	19	NA	NA	CO	unwarmed
600	4	19	-0.185177	NA	CO	unwarmed
720	4	19	NA	NA	CO	unwarmed
840	4	19	NA	NA	CO	unwarmed
0	5	19	10.64378544	443.989604827521	CO	unwarmed
1	5	19	8.944282662	373.097385977279	CO	unwarmed
2	5	19	7.537669507	314.422620091202	CO	unwarmed
4	5	19	5.4779388	228.504031464331	CO	unwarmed
8	5	19	2.344556612	97.7996756441222	CO	unwarmed
24	5	19	NA	NA	CO	unwarmed
48	5	19	NA	NA	CO	unwarmed
72	5	19	-0.051669111	NA	CO	unwarmed
120	5	19	NA	NA	CO	unwarmed
240	5	19	NA	NA	CO	unwarmed
360	5	19	NA	NA	CO	unwarmed
480	5	19	NA	NA	CO	unwarmed
600	5	19	NA	NA	CO	unwarmed
720	5	19	NA	NA	CO	unwarmed
840	5	19	NA	NA	CO	unwarmed
0	1	13	10.2892289	438.19927994502	CO	unwarmed
1	1	13	9.63136507	410.182072882218	CO	unwarmed
2	1	13	9.0783226	386.629014194504	CO	unwarmed
4	1	13	8.23934011	350.898297483121	CO	unwarmed
8	1	13	6.54338923	278.670877755086	CO	unwarmed
24	1	13	2.09465201	89.2073654340987	CO	unwarmed
48	1	13	-0.0176203	NA	CO	unwarmed
72	1	13	-0.2252264	NA	CO	unwarmed
120	1	13	NA	NA	CO	unwarmed
240	1	13	NA	NA	CO	unwarmed
