time	replicate	soil_type	inc_temp	ppmv	gas	group	nmol_l
8	1	Blank	19	13.32224217	CH4	1_Blank_19_CH4	555.7172279029734
24	1	Blank	19	13.24415931	CH4	1_Blank_19_CH4	552.4601192307073
48	1	Blank	19	12.82118948	CH4	1_Blank_19_CH4	534.8165710640556
72	1	Blank	19	11.32426506	CH4	1_Blank_19_CH4	472.37462785002793
120	1	Blank	19	12.235712059999999	CH4	1_Blank_19_CH4	510.3942640161584
240	1	Blank	19	13.33317591	CH4	1_Blank_19_CH4	556.1733123672757
360	1	Blank	19	12.41128994	CH4	1_Blank_19_CH4	517.7182303207494
480	1	Blank	19	12.57222656	CH4	1_Blank_19_CH4	524.4314585591515
0	2	Blank	19	13.30163481	CH4	2_Blank_19_CH4	554.857622978557
1	2	Blank	19	12.8651499	CH4	2_Blank_19_CH4	536.6503136449302
2	2	Blank	19	13.19725914	CH4	2_Blank_19_CH4	550.5037494148763
4	2	Blank	19	13.19687591	CH4	2_Blank_19_CH4	550.4877635537478
8	2	Blank	19	13.22862618	CH4	2_Blank_19_CH4	551.812178153364
24	2	Blank	19	13.49519259	CH4	2_Blank_19_CH4	562.9315936786899
48	2	Blank	19	13.01671679	CH4	2_Blank_19_CH4	542.9726977359765
72	2	Blank	19	12.63894441	CH4	2_Blank_19_CH4	527.2144929898825
120	2	Blank	19	12.235712059999999	CH4	2_Blank_19_CH4	510.3942640161584
240	2	Blank	19	13.28790107	CH4	2_Blank_19_CH4	554.2847407396553
360	2	Blank	19	12.40389862	CH4	2_Blank_19_CH4	517.4099125609813
480	2	Blank	19	11.9755432	CH4	2_Blank_19_CH4	499.541712634721
0	1	Heat-Killed	19	NA	CO	1_Heat-Killed_19_CO	NA
1	1	Heat-Killed	19	10.5052626	CO	1_Heat-Killed_19_CO	438.21117616455865
2	1	Heat-Killed	19	10.4866915	CO	1_Heat-Killed_19_CO	437.43651075317996
4	1	Heat-Killed	19	10.5534915	CO	1_Heat-Killed_19_CO	440.22297194719073
8	1	Heat-Killed	19	10.7684629	CO	1_Heat-Killed_19_CO	449.1901794909357
24	1	Heat-Killed	19	11.5417336	CO	1_Heat-Killed_19_CO	481.44599982050954
48	1	Heat-Killed	19	12.5281679	CO	1_Heat-Killed_19_CO	522.5936180449281
0	2	Heat-Killed	19	10.998144	CO	2_Heat-Killed_19_CO	458.77097997218874
1	2	Heat-Killed	19	10.8927842	CO	2_Heat-Killed_19_CO	454.37605491068075
2	2	Heat-Killed	19	10.9264663	CO	2_Heat-Killed_19_CO	455.781052883477
4	2	Heat-Killed	19	11.1079555	CO	2_Heat-Killed_19_CO	463.35160098126227
8	2	Heat-Killed	19	11.2541229	CO	2_Heat-Killed_19_CO	469.4487534951762
24	2	Heat-Killed	19	11.9323358	CO	2_Heat-Killed_19_CO	497.73938114678543
48	2	Heat-Killed	19	13.0721638	CO	2_Heat-Killed_19_CO	545.2855860846131
0	1	Heat-Killed	13	9.676568916	CO	1_Heat-Killed_13_CO	403.6434696946813
1	1	Heat-Killed	13	9.72865109	CO	1_Heat-Killed_13_CO	405.81599898735664
2	1	Heat-Killed	13	9.712135421	CO	1_Heat-Killed_13_CO	405.1270727783502
4	1	Heat-Killed	13	9.737722854	CO	1_Heat-Killed_13_CO	406.19441393267437
8	1	Heat-Killed	13	9.755915388	CO	1_Heat-Killed_13_CO	406.9532880346462
